,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"May 09, 2021",1,31.9520,Off-Peak,2021-06-08
1,ARD1,Ardenville,"May 09, 2021",2,26.0000,Off-Peak,2021-06-08
2,ARD1,Ardenville,"May 09, 2021",3,23.4960,Off-Peak,2021-06-08
3,ARD1,Ardenville,"May 09, 2021",4,23.1990,Off-Peak,2021-06-08
4,ARD1,Ardenville,"May 09, 2021",5,14.0483,Off-Peak,2021-06-08
5,ARD1,Ardenville,"May 09, 2021",6,15.1141,Off-Peak,2021-06-08
6,ARD1,Ardenville,"May 09, 2021",7,14.4066,Off-Peak,2021-06-08
7,ARD1,Ardenville,"May 09, 2021",8,13.6543,Peak,2021-06-08
8,ARD1,Ardenville,"May 09, 2021",9,6.4968,Peak,2021-06-08
9,ARD1,Ardenville,"May 09, 2021",10,6.3187,Peak,2021-06-08
10,ARD1,Ardenville,"May 09, 2021",11,5.3945,Peak,2021-06-08
11,ARD1,Ardenville,"May 09, 2021",12,5.9108,Off-Peak,2021-06-08
12,ARD1,Ardenville,"May 09, 2021",13,5.7805,Off-Peak,2021-06-08
13,ARD1,Ardenville,"May 09, 2021",14,2.9464,Off-Peak,2021-06-08
14,ARD1,Ardenville,"May 09, 2021",15,1.7661,Off-Peak,2021-06-08
15,ARD1,Ardenville,"May 09, 2021",16,2.1229,Off-Peak,2021-06-08
16,ARD1,Ardenville,"May 09, 2021",17,5.7621,Off-Peak,2021-06-08
17,ARD1,Ardenville,"May 09, 2021",18,4.6153,Off-Peak,2021-06-08
18,ARD1,Ardenville,"May 09, 2021",19,3.4835,Off-Peak,2021-06-08
19,ARD1,Ardenville,"May 09, 2021",20,3.8405,Off-Peak,2021-06-08
20,ARD1,Ardenville,"May 09, 2021",21,1.5931,Off-Peak,2021-06-08
21,ARD1,Ardenville,"May 09, 2021",22,0.6404,Off-Peak,2021-06-08
22,ARD1,Ardenville,"May 09, 2021",23,0.0000,Off-Peak,2021-06-08
23,ARD1,Ardenville,"May 09, 2021",24,0.0000,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"May 09, 2021",1,13.3760,Off-Peak,2021-06-08
25,BTR1,Blue Trail,"May 09, 2021",2,13.2480,Off-Peak,2021-06-08
26,BTR1,Blue Trail,"May 09, 2021",3,15.8080,Off-Peak,2021-06-08
27,BTR1,Blue Trail,"May 09, 2021",4,9.4080,Off-Peak,2021-06-08
28,BTR1,Blue Trail,"May 09, 2021",5,8.8960,Off-Peak,2021-06-08
29,BTR1,Blue Trail,"May 09, 2021",6,6.5280,Off-Peak,2021-06-08
30,BTR1,Blue Trail,"May 09, 2021",7,9.0240,Off-Peak,2021-06-08
31,BTR1,Blue Trail,"May 09, 2021",8,10.1120,Peak,2021-06-08
32,BTR1,Blue Trail,"May 09, 2021",9,4.7360,Peak,2021-06-08
33,BTR1,Blue Trail,"May 09, 2021",10,4.9280,Peak,2021-06-08
34,BTR1,Blue Trail,"May 09, 2021",11,3.5200,Peak,2021-06-08
35,BTR1,Blue Trail,"May 09, 2021",12,6.0160,Off-Peak,2021-06-08
36,BTR1,Blue Trail,"May 09, 2021",13,5.1200,Off-Peak,2021-06-08
37,BTR1,Blue Trail,"May 09, 2021",14,3.2640,Off-Peak,2021-06-08
38,BTR1,Blue Trail,"May 09, 2021",15,5.1840,Off-Peak,2021-06-08
39,BTR1,Blue Trail,"May 09, 2021",16,3.3920,Off-Peak,2021-06-08
40,BTR1,Blue Trail,"May 09, 2021",17,5.2480,Off-Peak,2021-06-08
41,BTR1,Blue Trail,"May 09, 2021",18,5.1200,Off-Peak,2021-06-08
42,BTR1,Blue Trail,"May 09, 2021",19,3.0080,Off-Peak,2021-06-08
43,BTR1,Blue Trail,"May 09, 2021",20,2.6880,Off-Peak,2021-06-08
44,BTR1,Blue Trail,"May 09, 2021",21,2.1760,Off-Peak,2021-06-08
45,BTR1,Blue Trail,"May 09, 2021",22,0.0000,Off-Peak,2021-06-08
46,BTR1,Blue Trail,"May 09, 2021",23,0.0000,Off-Peak,2021-06-08
47,BTR1,Blue Trail,"May 09, 2021",24,0.0000,Off-Peak,2021-06-08
48,VQ6,Waterton,"May 09, 2021",1,0.0180,Off-Peak,2021-06-08
49,VQ6,Waterton,"May 09, 2021",2,0.0000,Off-Peak,2021-06-08
50,VQ6,Waterton,"May 09, 2021",3,0.0000,Off-Peak,2021-06-08
51,VQ6,Waterton,"May 09, 2021",4,0.0000,Off-Peak,2021-06-08
52,VQ6,Waterton,"May 09, 2021",5,0.0000,Off-Peak,2021-06-08
53,VQ6,Waterton,"May 09, 2021",6,0.0000,Off-Peak,2021-06-08
54,VQ6,Waterton,"May 09, 2021",7,0.0723,Off-Peak,2021-06-08
55,VQ6,Waterton,"May 09, 2021",8,0.0049,Peak,2021-06-08
56,VQ6,Waterton,"May 09, 2021",9,0.0199,Peak,2021-06-08
57,VQ6,Waterton,"May 09, 2021",10,0.0124,Peak,2021-06-08
58,VQ6,Waterton,"May 09, 2021",11,0.0165,Peak,2021-06-08
59,VQ6,Waterton,"May 09, 2021",12,0.0000,Off-Peak,2021-06-08
60,VQ6,Waterton,"May 09, 2021",13,0.0226,Off-Peak,2021-06-08
