,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"May 08, 2021",1,62.8650,Off-Peak,2021-06-08
1,ARD1,Ardenville,"May 08, 2021",2,64.7690,Off-Peak,2021-06-08
2,ARD1,Ardenville,"May 08, 2021",3,64.7190,Off-Peak,2021-06-08
3,ARD1,Ardenville,"May 08, 2021",4,57.6150,Off-Peak,2021-06-08
4,ARD1,Ardenville,"May 08, 2021",5,15.9460,Off-Peak,2021-06-08
5,ARD1,Ardenville,"May 08, 2021",6,2.1649,Off-Peak,2021-06-08
6,ARD1,Ardenville,"May 08, 2021",7,10.4890,Off-Peak,2021-06-08
7,ARD1,Ardenville,"May 08, 2021",8,28.1600,Peak,2021-06-08
8,ARD1,Ardenville,"May 08, 2021",9,46.9690,Peak,2021-06-08
9,ARD1,Ardenville,"May 08, 2021",10,50.5650,Peak,2021-06-08
10,ARD1,Ardenville,"May 08, 2021",11,45.8110,Peak,2021-06-08
11,ARD1,Ardenville,"May 08, 2021",12,60.0650,Off-Peak,2021-06-08
12,ARD1,Ardenville,"May 08, 2021",13,63.9680,Off-Peak,2021-06-08
13,ARD1,Ardenville,"May 08, 2021",14,49.5760,Off-Peak,2021-06-08
14,ARD1,Ardenville,"May 08, 2021",15,59.2420,Off-Peak,2021-06-08
15,ARD1,Ardenville,"May 08, 2021",16,59.6850,Off-Peak,2021-06-08
16,ARD1,Ardenville,"May 08, 2021",17,59.2760,Off-Peak,2021-06-08
17,ARD1,Ardenville,"May 08, 2021",18,62.0870,Off-Peak,2021-06-08
18,ARD1,Ardenville,"May 08, 2021",19,56.4880,Off-Peak,2021-06-08
19,ARD1,Ardenville,"May 08, 2021",20,50.5960,Off-Peak,2021-06-08
20,ARD1,Ardenville,"May 08, 2021",21,33.1460,Off-Peak,2021-06-08
21,ARD1,Ardenville,"May 08, 2021",22,31.8620,Off-Peak,2021-06-08
22,ARD1,Ardenville,"May 08, 2021",23,37.1820,Off-Peak,2021-06-08
23,ARD1,Ardenville,"May 08, 2021",24,33.3610,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"May 08, 2021",1,64.3840,Off-Peak,2021-06-08
25,BTR1,Blue Trail,"May 08, 2021",2,62.6560,Off-Peak,2021-06-08
26,BTR1,Blue Trail,"May 08, 2021",3,53.3120,Off-Peak,2021-06-08
27,BTR1,Blue Trail,"May 08, 2021",4,17.2160,Off-Peak,2021-06-08
28,BTR1,Blue Trail,"May 08, 2021",5,1.0865,Off-Peak,2021-06-08
29,BTR1,Blue Trail,"May 08, 2021",6,6.0160,Off-Peak,2021-06-08
30,BTR1,Blue Trail,"May 08, 2021",7,17.4720,Off-Peak,2021-06-08
31,BTR1,Blue Trail,"May 08, 2021",8,23.8720,Peak,2021-06-08
32,BTR1,Blue Trail,"May 08, 2021",9,41.0240,Peak,2021-06-08
33,BTR1,Blue Trail,"May 08, 2021",10,52.6720,Peak,2021-06-08
34,BTR1,Blue Trail,"May 08, 2021",11,36.4800,Peak,2021-06-08
35,BTR1,Blue Trail,"May 08, 2021",12,52.7360,Off-Peak,2021-06-08
36,BTR1,Blue Trail,"May 08, 2021",13,56.1280,Off-Peak,2021-06-08
37,BTR1,Blue Trail,"May 08, 2021",14,48.5120,Off-Peak,2021-06-08
38,BTR1,Blue Trail,"May 08, 2021",15,60.8640,Off-Peak,2021-06-08
39,BTR1,Blue Trail,"May 08, 2021",16,59.5200,Off-Peak,2021-06-08
40,BTR1,Blue Trail,"May 08, 2021",17,64.1920,Off-Peak,2021-06-08
41,BTR1,Blue Trail,"May 08, 2021",18,63.1680,Off-Peak,2021-06-08
42,BTR1,Blue Trail,"May 08, 2021",19,62.1440,Off-Peak,2021-06-08
43,BTR1,Blue Trail,"May 08, 2021",20,61.5680,Off-Peak,2021-06-08
44,BTR1,Blue Trail,"May 08, 2021",21,56.7680,Off-Peak,2021-06-08
45,BTR1,Blue Trail,"May 08, 2021",22,47.8080,Off-Peak,2021-06-08
46,BTR1,Blue Trail,"May 08, 2021",23,17.8560,Off-Peak,2021-06-08
47,BTR1,Blue Trail,"May 08, 2021",24,8.0640,Off-Peak,2021-06-08
48,VQ6,Waterton,"May 08, 2021",1,0.6562,Off-Peak,2021-06-08
49,VQ6,Waterton,"May 08, 2021",2,0.5716,Off-Peak,2021-06-08
50,VQ6,Waterton,"May 08, 2021",3,0.6310,Off-Peak,2021-06-08
51,VQ6,Waterton,"May 08, 2021",4,0.6627,Off-Peak,2021-06-08
52,VQ6,Waterton,"May 08, 2021",5,0.6336,Off-Peak,2021-06-08
53,VQ6,Waterton,"May 08, 2021",6,0.6242,Off-Peak,2021-06-08
54,VQ6,Waterton,"May 08, 2021",7,0.5675,Off-Peak,2021-06-08
55,VQ6,Waterton,"May 08, 2021",8,0.4037,Peak,2021-06-08
56,VQ6,Waterton,"May 08, 2021",9,0.0461,Peak,2021-06-08
57,VQ6,Waterton,"May 08, 2021",10,0.0391,Peak,2021-06-08
58,VQ6,Waterton,"May 08, 2021",11,0.1699,Peak,2021-06-08
59,VQ6,Waterton,"May 08, 2021",12,0.0636,Off-Peak,2021-06-08
60,VQ6,Waterton,"May 08, 2021",13,0.0000,Off-Peak,2021-06-08
61,VQ6,Waterton,"May 08, 2021",14,0.0000,Off-Peak,2021-06-08
