,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"May 28, 2021",1,63.7000,Off-Peak,2021-06-08
1,ARD1,Ardenville,"May 28, 2021",2,62.4380,Off-Peak,2021-06-08
2,ARD1,Ardenville,"May 28, 2021",3,35.8865,Off-Peak,2021-06-08
3,ARD1,Ardenville,"May 28, 2021",4,21.6975,Off-Peak,2021-06-08
4,ARD1,Ardenville,"May 28, 2021",5,60.8160,Off-Peak,2021-06-08
5,ARD1,Ardenville,"May 28, 2021",6,57.9240,Off-Peak,2021-06-08
6,ARD1,Ardenville,"May 28, 2021",7,35.3755,Off-Peak,2021-06-08
7,ARD1,Ardenville,"May 28, 2021",8,33.6625,Peak,2021-06-08
8,ARD1,Ardenville,"May 28, 2021",9,54.6965,Peak,2021-06-08
9,ARD1,Ardenville,"May 28, 2021",10,63.8810,Peak,2021-06-08
10,ARD1,Ardenville,"May 28, 2021",11,62.5805,Peak,2021-06-08
11,ARD1,Ardenville,"May 28, 2021",12,62.3220,Off-Peak,2021-06-08
12,ARD1,Ardenville,"May 28, 2021",13,62.3015,Off-Peak,2021-06-08
13,ARD1,Ardenville,"May 28, 2021",14,66.4245,Off-Peak,2021-06-08
14,ARD1,Ardenville,"May 28, 2021",15,67.9345,Off-Peak,2021-06-08
15,ARD1,Ardenville,"May 28, 2021",16,67.9350,Off-Peak,2021-06-08
16,ARD1,Ardenville,"May 28, 2021",17,67.9165,Off-Peak,2021-06-08
17,ARD1,Ardenville,"May 28, 2021",18,67.9580,Off-Peak,2021-06-08
18,ARD1,Ardenville,"May 28, 2021",19,67.9260,Off-Peak,2021-06-08
19,ARD1,Ardenville,"May 28, 2021",20,68.0035,Off-Peak,2021-06-08
20,ARD1,Ardenville,"May 28, 2021",21,68.0170,Off-Peak,2021-06-08
21,ARD1,Ardenville,"May 28, 2021",22,67.9070,Off-Peak,2021-06-08
22,ARD1,Ardenville,"May 28, 2021",23,68.1225,Off-Peak,2021-06-08
23,ARD1,Ardenville,"May 28, 2021",24,66.7595,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"May 28, 2021",1,44.3520,Off-Peak,2021-06-08
25,BTR1,Blue Trail,"May 28, 2021",2,54.5280,Off-Peak,2021-06-08
26,BTR1,Blue Trail,"May 28, 2021",3,38.1440,Off-Peak,2021-06-08
27,BTR1,Blue Trail,"May 28, 2021",4,48.8960,Off-Peak,2021-06-08
28,BTR1,Blue Trail,"May 28, 2021",5,23.7440,Off-Peak,2021-06-08
29,BTR1,Blue Trail,"May 28, 2021",6,14.0160,Off-Peak,2021-06-08
30,BTR1,Blue Trail,"May 28, 2021",7,38.7840,Off-Peak,2021-06-08
31,BTR1,Blue Trail,"May 28, 2021",8,59.5200,Peak,2021-06-08
32,BTR1,Blue Trail,"May 28, 2021",9,64.4480,Peak,2021-06-08
33,BTR1,Blue Trail,"May 28, 2021",10,64.7040,Peak,2021-06-08
34,BTR1,Blue Trail,"May 28, 2021",11,62.2720,Peak,2021-06-08
35,BTR1,Blue Trail,"May 28, 2021",12,62.9120,Off-Peak,2021-06-08
36,BTR1,Blue Trail,"May 28, 2021",13,65.0880,Off-Peak,2021-06-08
37,BTR1,Blue Trail,"May 28, 2021",14,65.0240,Off-Peak,2021-06-08
38,BTR1,Blue Trail,"May 28, 2021",15,63.5520,Off-Peak,2021-06-08
39,BTR1,Blue Trail,"May 28, 2021",16,62.0800,Off-Peak,2021-06-08
40,BTR1,Blue Trail,"May 28, 2021",17,61.2480,Off-Peak,2021-06-08
41,BTR1,Blue Trail,"May 28, 2021",18,59.5840,Off-Peak,2021-06-08
42,BTR1,Blue Trail,"May 28, 2021",19,57.6640,Off-Peak,2021-06-08
43,BTR1,Blue Trail,"May 28, 2021",20,54.9120,Off-Peak,2021-06-08
44,BTR1,Blue Trail,"May 28, 2021",21,58.1760,Off-Peak,2021-06-08
45,BTR1,Blue Trail,"May 28, 2021",22,58.9440,Off-Peak,2021-06-08
