,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"June 05, 2021",1,44.4984,Off-Peak,2021-06-08
1,ARD1,Ardenville,"June 05, 2021",2,24.9362,Off-Peak,2021-06-08
2,ARD1,Ardenville,"June 05, 2021",3,4.0358,Off-Peak,2021-06-08
3,ARD1,Ardenville,"June 05, 2021",4,2.3077,Off-Peak,2021-06-08
4,ARD1,Ardenville,"June 05, 2021",5,5.2026,Off-Peak,2021-06-08
5,ARD1,Ardenville,"June 05, 2021",6,18.4973,Off-Peak,2021-06-08
6,ARD1,Ardenville,"June 05, 2021",7,12.7929,Off-Peak,2021-06-08
7,ARD1,Ardenville,"June 05, 2021",8,14.2493,Peak,2021-06-08
8,ARD1,Ardenville,"June 05, 2021",9,25.9416,Peak,2021-06-08
9,ARD1,Ardenville,"June 05, 2021",10,46.6750,Peak,2021-06-08
10,ARD1,Ardenville,"June 05, 2021",11,52.0954,Peak,2021-06-08
11,ARD1,Ardenville,"June 05, 2021",12,62.4718,Off-Peak,2021-06-08
12,ARD1,Ardenville,"June 05, 2021",13,63.8403,Off-Peak,2021-06-08
13,ARD1,Ardenville,"June 05, 2021",14,67.0563,Off-Peak,2021-06-08
14,ARD1,Ardenville,"June 05, 2021",15,67.5072,Off-Peak,2021-06-08
15,ARD1,Ardenville,"June 05, 2021",16,67.8502,Off-Peak,2021-06-08
16,ARD1,Ardenville,"June 05, 2021",17,67.9155,Off-Peak,2021-06-08
17,ARD1,Ardenville,"June 05, 2021",18,67.4653,Off-Peak,2021-06-08
18,ARD1,Ardenville,"June 05, 2021",19,60.7716,Off-Peak,2021-06-08
19,ARD1,Ardenville,"June 05, 2021",20,61.1651,Off-Peak,2021-06-08
20,ARD1,Ardenville,"June 05, 2021",21,32.9680,Off-Peak,2021-06-08
21,ARD1,Ardenville,"June 05, 2021",22,46.3090,Off-Peak,2021-06-08
22,ARD1,Ardenville,"June 05, 2021",23,64.0221,Off-Peak,2021-06-08
23,ARD1,Ardenville,"June 05, 2021",24,52.2041,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"June 05, 2021",1,30.7840,Off-Peak,2021-06-08
25,BTR1,Blue Trail,"June 05, 2021",2,47.8720,Off-Peak,2021-06-08
26,BTR1,Blue Trail,"June 05, 2021",3,35.2640,Off-Peak,2021-06-08
27,BTR1,Blue Trail,"June 05, 2021",4,20.6080,Off-Peak,2021-06-08
28,BTR1,Blue Trail,"June 05, 2021",5,12.6720,Off-Peak,2021-06-08
29,BTR1,Blue Trail,"June 05, 2021",6,6.5920,Off-Peak,2021-06-08
30,BTR1,Blue Trail,"June 05, 2021",7,14.9120,Off-Peak,2021-06-08
31,BTR1,Blue Trail,"June 05, 2021",8,12.2880,Peak,2021-06-08
32,BTR1,Blue Trail,"June 05, 2021",9,10.8800,Peak,2021-06-08
33,BTR1,Blue Trail,"June 05, 2021",10,56.1920,Peak,2021-06-08
34,BTR1,Blue Trail,"June 05, 2021",11,52.4800,Peak,2021-06-08
35,BTR1,Blue Trail,"June 05, 2021",12,58.1120,Off-Peak,2021-06-08
36,BTR1,Blue Trail,"June 05, 2021",13,56.3200,Off-Peak,2021-06-08
37,BTR1,Blue Trail,"June 05, 2021",14,59.3920,Off-Peak,2021-06-08
38,BTR1,Blue Trail,"June 05, 2021",15,58.8160,Off-Peak,2021-06-08
39,BTR1,Blue Trail,"June 05, 2021",16,58.1760,Off-Peak,2021-06-08
40,BTR1,Blue Trail,"June 05, 2021",17,57.0880,Off-Peak,2021-06-08
41,BTR1,Blue Trail,"June 05, 2021",18,57.6640,Off-Peak,2021-06-08
