,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"April 28, 2021",1,61.8093,Off-Peak,2021-06-08
1,ARD1,Ardenville,"April 28, 2021",2,29.5098,Off-Peak,2021-06-08
2,ARD1,Ardenville,"April 28, 2021",3,17.3343,Off-Peak,2021-06-08
3,ARD1,Ardenville,"April 28, 2021",4,4.4103,Off-Peak,2021-06-08
4,ARD1,Ardenville,"April 28, 2021",5,1.6018,Off-Peak,2021-06-08
5,ARD1,Ardenville,"April 28, 2021",6,6.4668,Off-Peak,2021-06-08
6,ARD1,Ardenville,"April 28, 2021",7,6.2501,Off-Peak,2021-06-08
7,ARD1,Ardenville,"April 28, 2021",8,35.0883,Peak,2021-06-08
8,ARD1,Ardenville,"April 28, 2021",9,66.5221,Peak,2021-06-08
9,ARD1,Ardenville,"April 28, 2021",10,67.1661,Peak,2021-06-08
10,ARD1,Ardenville,"April 28, 2021",11,60.4219,Peak,2021-06-08
11,ARD1,Ardenville,"April 28, 2021",12,58.1261,Off-Peak,2021-06-08
12,ARD1,Ardenville,"April 28, 2021",13,62.5889,Off-Peak,2021-06-08
13,ARD1,Ardenville,"April 28, 2021",14,66.0132,Off-Peak,2021-06-08
14,ARD1,Ardenville,"April 28, 2021",15,67.2614,Off-Peak,2021-06-08
15,ARD1,Ardenville,"April 28, 2021",16,64.3879,Off-Peak,2021-06-08
16,ARD1,Ardenville,"April 28, 2021",17,61.8483,Off-Peak,2021-06-08
17,ARD1,Ardenville,"April 28, 2021",18,62.4701,Off-Peak,2021-06-08
18,ARD1,Ardenville,"April 28, 2021",19,62.0044,Off-Peak,2021-06-08
19,ARD1,Ardenville,"April 28, 2021",20,61.9798,Off-Peak,2021-06-08
20,ARD1,Ardenville,"April 28, 2021",21,62.1114,Off-Peak,2021-06-08
21,ARD1,Ardenville,"April 28, 2021",22,62.1021,Off-Peak,2021-06-08
22,ARD1,Ardenville,"April 28, 2021",23,62.3033,Off-Peak,2021-06-08
23,ARD1,Ardenville,"April 28, 2021",24,65.1052,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"April 28, 2021",1,14.6560,Off-Peak,2021-06-08
25,BTR1,Blue Trail,"April 28, 2021",2,9.7920,Off-Peak,2021-06-08
26,BTR1,Blue Trail,"April 28, 2021",3,15.6800,Off-Peak,2021-06-08
27,BTR1,Blue Trail,"April 28, 2021",4,5.1200,Off-Peak,2021-06-08
28,BTR1,Blue Trail,"April 28, 2021",5,0.7680,Off-Peak,2021-06-08
29,BTR1,Blue Trail,"April 28, 2021",6,0.0000,Off-Peak,2021-06-08
30,BTR1,Blue Trail,"April 28, 2021",7,0.6790,Off-Peak,2021-06-08
31,BTR1,Blue Trail,"April 28, 2021",8,0.1200,Peak,2021-06-08
32,BTR1,Blue Trail,"April 28, 2021",9,4.4715,Peak,2021-06-08
33,BTR1,Blue Trail,"April 28, 2021",10,56.5760,Peak,2021-06-08
34,BTR1,Blue Trail,"April 28, 2021",11,51.1360,Peak,2021-06-08
35,BTR1,Blue Trail,"April 28, 2021",12,48.8960,Off-Peak,2021-06-08
36,BTR1,Blue Trail,"April 28, 2021",13,55.6160,Off-Peak,2021-06-08
37,BTR1,Blue Trail,"April 28, 2021",14,59.6480,Off-Peak,2021-06-08
38,BTR1,Blue Trail,"April 28, 2021",15,60.1600,Off-Peak,2021-06-08
39,BTR1,Blue Trail,"April 28, 2021",16,62.7840,Off-Peak,2021-06-08
40,BTR1,Blue Trail,"April 28, 2021",17,61.8880,Off-Peak,2021-06-08
41,BTR1,Blue Trail,"April 28, 2021",18,62.4640,Off-Peak,2021-06-08
42,BTR1,Blue Trail,"April 28, 2021",19,61.6320,Off-Peak,2021-06-08
43,BTR1,Blue Trail,"April 28, 2021",20,58.6880,Off-Peak,2021-06-08
44,BTR1,Blue Trail,"April 28, 2021",21,59.2000,Off-Peak,2021-06-08
45,BTR1,Blue Trail,"April 28, 2021",22,56.1920,Off-Peak,2021-06-08
46,BTR1,Blue Trail,"April 28, 2021",23,58.6240,Off-Peak,2021-06-08
47,BTR1,Blue Trail,"April 28, 2021",24,61.6320,Off-Peak,2021-06-08
48,VQ6,Waterton,"April 28, 2021",1,0.3966,Off-Peak,2021-06-08
49,VQ6,Waterton,"April 28, 2021",2,0.2174,Off-Peak,2021-06-08
50,VQ6,Waterton,"April 28, 2021",3,0.1329,Off-Peak,2021-06-08
51,VQ6,Waterton,"April 28, 2021",4,0.2346,Off-Peak,2021-06-08
52,VQ6,Waterton,"April 28, 2021",5,0.1933,Off-Peak,2021-06-08
53,VQ6,Waterton,"April 28, 2021",6,0.3125,Off-Peak,2021-06-08
54,VQ6,Waterton,"April 28, 2021",7,0.3867,Off-Peak,2021-06-08
55,VQ6,Waterton,"April 28, 2021",8,0.0733,Peak,2021-06-08
56,VQ6,Waterton,"April 28, 2021",9,0.4674,Peak,2021-06-08
