,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"May 30, 2021",1,20.7970,Off-Peak,2021-06-08
1,ARD1,Ardenville,"May 30, 2021",2,18.8075,Off-Peak,2021-06-08
2,ARD1,Ardenville,"May 30, 2021",3,23.2605,Off-Peak,2021-06-08
3,ARD1,Ardenville,"May 30, 2021",4,22.5845,Off-Peak,2021-06-08
4,ARD1,Ardenville,"May 30, 2021",5,18.7655,Off-Peak,2021-06-08
5,ARD1,Ardenville,"May 30, 2021",6,18.4485,Off-Peak,2021-06-08
6,ARD1,Ardenville,"May 30, 2021",7,20.0775,Off-Peak,2021-06-08
7,ARD1,Ardenville,"May 30, 2021",8,13.2195,Peak,2021-06-08
8,ARD1,Ardenville,"May 30, 2021",9,9.3035,Peak,2021-06-08
9,ARD1,Ardenville,"May 30, 2021",10,5.0610,Peak,2021-06-08
10,ARD1,Ardenville,"May 30, 2021",11,0.3825,Peak,2021-06-08
11,ARD1,Ardenville,"May 30, 2021",12,0.1452,Off-Peak,2021-06-08
12,ARD1,Ardenville,"May 30, 2021",13,0.1918,Off-Peak,2021-06-08
13,ARD1,Ardenville,"May 30, 2021",14,0.7512,Off-Peak,2021-06-08
14,ARD1,Ardenville,"May 30, 2021",15,0.3542,Off-Peak,2021-06-08
15,ARD1,Ardenville,"May 30, 2021",16,0.2299,Off-Peak,2021-06-08
16,ARD1,Ardenville,"May 30, 2021",17,0.0404,Off-Peak,2021-06-08
17,ARD1,Ardenville,"May 30, 2021",18,0.5346,Off-Peak,2021-06-08
18,ARD1,Ardenville,"May 30, 2021",19,0.8440,Off-Peak,2021-06-08
19,ARD1,Ardenville,"May 30, 2021",20,1.0700,Off-Peak,2021-06-08
20,ARD1,Ardenville,"May 30, 2021",21,11.4980,Off-Peak,2021-06-08
21,ARD1,Ardenville,"May 30, 2021",22,23.8900,Off-Peak,2021-06-08
22,ARD1,Ardenville,"May 30, 2021",23,24.4840,Off-Peak,2021-06-08
23,ARD1,Ardenville,"May 30, 2021",24,20.8620,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"May 30, 2021",1,7.8080,Off-Peak,2021-06-08
25,BTR1,Blue Trail,"May 30, 2021",2,6.2720,Off-Peak,2021-06-08
26,BTR1,Blue Trail,"May 30, 2021",3,5.2480,Off-Peak,2021-06-08
27,BTR1,Blue Trail,"May 30, 2021",4,6.4640,Off-Peak,2021-06-08
28,BTR1,Blue Trail,"May 30, 2021",5,5.1840,Off-Peak,2021-06-08
29,BTR1,Blue Trail,"May 30, 2021",6,6.8480,Off-Peak,2021-06-08
30,BTR1,Blue Trail,"May 30, 2021",7,7.4240,Off-Peak,2021-06-08
31,BTR1,Blue Trail,"May 30, 2021",8,4.0960,Peak,2021-06-08
32,BTR1,Blue Trail,"May 30, 2021",9,0.7665,Peak,2021-06-08
