,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"May 25, 2021",1,33.9410,Off-Peak,2021-06-08
1,ARD1,Ardenville,"May 25, 2021",2,27.9835,Off-Peak,2021-06-08
2,ARD1,Ardenville,"May 25, 2021",3,13.6860,Off-Peak,2021-06-08
3,ARD1,Ardenville,"May 25, 2021",4,7.8160,Off-Peak,2021-06-08
4,ARD1,Ardenville,"May 25, 2021",5,9.4665,Off-Peak,2021-06-08
5,ARD1,Ardenville,"May 25, 2021",6,6.9255,Off-Peak,2021-06-08
6,ARD1,Ardenville,"May 25, 2021",7,2.0525,Off-Peak,2021-06-08
7,ARD1,Ardenville,"May 25, 2021",8,0.7520,Peak,2021-06-08
8,ARD1,Ardenville,"May 25, 2021",9,1.9935,Peak,2021-06-08
9,ARD1,Ardenville,"May 25, 2021",10,0.4232,Peak,2021-06-08
10,ARD1,Ardenville,"May 25, 2021",11,0.0092,Peak,2021-06-08
11,ARD1,Ardenville,"May 25, 2021",12,0.0000,Off-Peak,2021-06-08
12,ARD1,Ardenville,"May 25, 2021",13,0.0000,Off-Peak,2021-06-08
13,ARD1,Ardenville,"May 25, 2021",14,0.0000,Off-Peak,2021-06-08
14,ARD1,Ardenville,"May 25, 2021",15,0.0000,Off-Peak,2021-06-08
15,ARD1,Ardenville,"May 25, 2021",16,0.0000,Off-Peak,2021-06-08
16,ARD1,Ardenville,"May 25, 2021",17,0.0000,Off-Peak,2021-06-08
17,ARD1,Ardenville,"May 25, 2021",18,0.0000,Off-Peak,2021-06-08
18,ARD1,Ardenville,"May 25, 2021",19,0.0000,Off-Peak,2021-06-08
19,ARD1,Ardenville,"May 25, 2021",20,3.7470,Off-Peak,2021-06-08
20,ARD1,Ardenville,"May 25, 2021",21,12.1065,Off-Peak,2021-06-08
21,ARD1,Ardenville,"May 25, 2021",22,8.4165,Off-Peak,2021-06-08
22,ARD1,Ardenville,"May 25, 2021",23,10.4560,Off-Peak,2021-06-08
23,ARD1,Ardenville,"May 25, 2021",24,6.2960,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"May 25, 2021",1,44.4160,Off-Peak,2021-06-08
25,BTR1,Blue Trail,"May 25, 2021",2,35.2000,Off-Peak,2021-06-08
26,BTR1,Blue Trail,"May 25, 2021",3,8.5760,Off-Peak,2021-06-08
27,BTR1,Blue Trail,"May 25, 2021",4,3.9040,Off-Peak,2021-06-08
28,BTR1,Blue Trail,"May 25, 2021",5,8.1280,Off-Peak,2021-06-08
29,BTR1,Blue Trail,"May 25, 2021",6,0.1225,Off-Peak,2021-06-08
30,BTR1,Blue Trail,"May 25, 2021",7,0.0000,Off-Peak,2021-06-08
31,BTR1,Blue Trail,"May 25, 2021",8,0.0000,Peak,2021-06-08
32,BTR1,Blue Trail,"May 25, 2021",9,2.4320,Peak,2021-06-08
33,BTR1,Blue Trail,"May 25, 2021",10,5.2480,Peak,2021-06-08
34,BTR1,Blue Trail,"May 25, 2021",11,3.3920,Peak,2021-06-08
35,BTR1,Blue Trail,"May 25, 2021",12,1.1015,Off-Peak,2021-06-08
36,BTR1,Blue Trail,"May 25, 2021",13,0.0000,Off-Peak,2021-06-08
37,BTR1,Blue Trail,"May 25, 2021",14,0.0000,Off-Peak,2021-06-08
