,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"May 26, 2021",1,4.0390,Off-Peak,2021-06-08
1,ARD1,Ardenville,"May 26, 2021",2,4.7495,Off-Peak,2021-06-08
2,ARD1,Ardenville,"May 26, 2021",3,7.0600,Off-Peak,2021-06-08
3,ARD1,Ardenville,"May 26, 2021",4,2.0812,Off-Peak,2021-06-08
4,ARD1,Ardenville,"May 26, 2021",5,0.0000,Off-Peak,2021-06-08
5,ARD1,Ardenville,"May 26, 2021",6,0.0000,Off-Peak,2021-06-08
6,ARD1,Ardenville,"May 26, 2021",7,0.0000,Off-Peak,2021-06-08
7,ARD1,Ardenville,"May 26, 2021",8,0.0000,Peak,2021-06-08
8,ARD1,Ardenville,"May 26, 2021",9,0.0000,Peak,2021-06-08
9,ARD1,Ardenville,"May 26, 2021",10,0.0000,Peak,2021-06-08
10,ARD1,Ardenville,"May 26, 2021",11,0.0000,Peak,2021-06-08
11,ARD1,Ardenville,"May 26, 2021",12,0.5962,Off-Peak,2021-06-08
12,ARD1,Ardenville,"May 26, 2021",13,2.6670,Off-Peak,2021-06-08
13,ARD1,Ardenville,"May 26, 2021",14,3.1375,Off-Peak,2021-06-08
14,ARD1,Ardenville,"May 26, 2021",15,4.4725,Off-Peak,2021-06-08
15,ARD1,Ardenville,"May 26, 2021",16,3.9865,Off-Peak,2021-06-08
16,ARD1,Ardenville,"May 26, 2021",17,6.0155,Off-Peak,2021-06-08
17,ARD1,Ardenville,"May 26, 2021",18,6.0045,Off-Peak,2021-06-08
18,ARD1,Ardenville,"May 26, 2021",19,15.3145,Off-Peak,2021-06-08
19,ARD1,Ardenville,"May 26, 2021",20,30.5220,Off-Peak,2021-06-08
20,ARD1,Ardenville,"May 26, 2021",21,18.4145,Off-Peak,2021-06-08
21,ARD1,Ardenville,"May 26, 2021",22,14.3260,Off-Peak,2021-06-08
22,ARD1,Ardenville,"May 26, 2021",23,14.5650,Off-Peak,2021-06-08
23,ARD1,Ardenville,"May 26, 2021",24,21.7430,Off-Peak,2021-06-08
